FY,Month (abbv),Component,Region,Land Filter,Area of Responsibility,Drug Type,Count of Event,Sum Qty (lbs)
2022,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Methamphetamine,5,0.0328929694904
2022,APR,Office of Field Operations,Northern Border,Land Only,SEATTLE FIELD OFFICE,Other Drugs**,11,2.462894159933
2022,APR,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Cocaine,1,2.5794084654
2022,APR,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Marijuana,4,0.840402142744
2022,APR,Office of Field Operations,Northern Border,Other,BOSTON FIELD OFFICE,Other Drugs**,4,7.715958707738
2022,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Ecstasy,5,0.06724098991
2022,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Fentanyl,8,0.749792153062
2022,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Ketamine,2,0.010361726314
2022,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Lsd,2,0.00330693393
2022,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Marijuana,8,9.75876202743
2022,APR,Office of Field Operations,Northern Border,Other,BUFFALO FIELD OFFICE,Other Drugs**,6,0.413587203512
2022,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Cocaine,1,0.00771617917
2022,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Ketamine,1,1.0960060893068
2022,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Khat (Catha Edulis),3,131.064814759
2022,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Marijuana,12,8.230186933853
2022,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Methamphetamine,1,0.0099428480162
2022,APR,Office of Field Operations,Northern Border,Other,DETROIT FIELD OFFICE,Other Drugs**,14,3.4849572065650003
2022,APR,Office of Field Operations,Northern Border,Other,PORTLAND FIELD OFFICE,Other Drugs**,3,0.50265395736
2022,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Lsd,1,4.40924524e-05
2022,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Marijuana,18,26.9679800604714
2022,APR,Office of Field Operations,Northern Border,Other,SEATTLE FIELD OFFICE,Other Drugs**,21,6.5807764744738
2022,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Cocaine,9,116.360422808124
2022,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Ecstasy,1,0.001984160358
2022,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Fentanyl,2,0.533959598564
2022,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Heroin,4,22.816080418904
2022,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Marijuana,48,640.9707459501328
2022,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Methamphetamine,14,364.7557604667266
2022,APR,Office of Field Operations,Southwest Border,Land Only,EL PASO FIELD OFFICE,Other Drugs**,33,35.6038396026306
2022,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Cocaine,22,838.8368606838
2022,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Ecstasy,1,0.000881849048
2022,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Fentanyl,3,81.64158486384
2022,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Heroin,4,5.297267231336
2022,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Marijuana,26,1189.332041779283
2022,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Methamphetamine,21,6944.9860396864215
2022,APR,Office of Field Operations,Southwest Border,Land Only,LAREDO FIELD OFFICE,Other Drugs**,20,98.3135804568398
2022,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Cocaine,23,778.4976403017458
2022,APR,Office of Field Operations,Southwest Border,Land Only,SAN DIEGO FIELD OFFICE,Fentanyl,36,734.4097735167954
